Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas (DOU);;;Outros;
SBCA;PR0005;AEROPORTO REGIONAL DO OESTE - CEL. ADALBERTO MENDES DA SILVA;CASCAVEL;PR;25° 0' 8'' S;53° 30' 7'' W;759 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1771 m;45 m;PCN 48/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9115;-;-;-;PA2022-9115;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBCB;RJ0003;CABO FRIO;CABO FRIO;RJ;22° 55' 15'' S;42° 4' 17'' W;7 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 10/28;2550 m;45 m;PCN 76/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2127;-;-;-;PA2019-2127;-;-;-;AP-1;Classe II;2ª;4E;NPA;N/A;PA2020-1309;-;PA2020-1309;-;-;-;-;;-
SBCD;SC0006;PREFEITO DR. CARLOS ALBERTO DA COSTA NEVES;CAÇADOR;SC;26° 47' 17'' S;50° 56' 24'' W;1029 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;1873 m;30 m;PCN 25/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.670;-;-;-;PA2023-10.670;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SBCF;MG0001;TANCREDO NEVES;BELO HORIZONTE;MG;19° 37' 28'' S;43° 58' 19'' W;829 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 16/34;3600 m;45 m;PCN 75/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2457;-;-;-;PA2018-2457;-;-;-;AP-3;Classe IV;1ª (*);4E;PA1;N/A;PA2015-2165;-;PA2015-2165;-;-;-;-;;-
SBCG;MS0001;CAMPO GRANDE;CAMPO GRANDE;MS;20° 28' 10'' S;54° 40' 13'' W;559 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 06/24;2600 m;45 m;PCN 48/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1884;-;-;-;PA2016-1884;-;-;-;AP-2;Classe III;2ª;4C;PA1(06) / NPA(24);N/A;PA2016-1802 / PA2023-12.531;-;PA2016-1802 / PA2023-12.531;-;-;-;-;;-
SBCH;SC0003;SERAFIN ENOSS BERTASO;CHAPECÓ;SC;27° 8' 2'' S;52° 39' 32'' W;654 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 11/29;2060 m;45 m;PCN 45/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9798;-;-;-;PA2022-9798;-;-;-;AP-1;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBCI;MA0003;BRIGADEIRO LYSIAS AUGUSTO RODRIGUES;CAROLINA;MA;7° 19' 14'' S;47° 27' 31'' W;172 m;VFR Diurno e IFR Diurno/Noturno;-;-; 11/29;1800 m;45 m;PCN 18/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4951;-;-;-;PA2021-4951;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;proibição de operações de pouso com aeronaves a reação (turbo-jato), exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo;PA2023-10.496;PA2023-10.496;X;-
SBCJ;PA0006;CARAJÁS;PARAUAPEBAS;PA;6° 7' 4'' S;50° 0' 12'' W;629 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 10/28;2000 m;45 m;PCN 41/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.568;-;-;-;PA2023-12.568;-;-;-;AP-1;Classe I;2ª;-;-;-;-;-;-;-;-;-;-;X;-
SSIM;SC0009;FORQUILHINHA-CRICIÚMA;FORQUILHINHA;SC;28° 43' 33'' S;49° 25' 29'' W;28 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;1568 m;30 m;PCN 53/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.002;-;-;-;PA2023-12.002;-;-;-;AP-0;Classe I;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBCN;GO0003;NELSON RODRIGUES GUIMARÃES;CALDAS NOVAS;GO;17° 43' 30'' S;48° 36' 23'' W;703 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;2110 m;45 m;PCN 35/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.850;-;-;-;PA2023-10.850;-;-;-;AP-1;Classe I;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBCP;RJ0006;BARTOLOMEU LISANDRO;CAMPOS DOS GOYTACAZES;RJ;21° 42' 4'' S;41° 18' 28'' W;18 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1544 m;45 m;PCN 29/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2768;-;-;-;PA2018-2768;-;-;-;AP-1;Classe I;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBCR;MS0009;CORUMBÁ;CORUMBÁ;MS;19° 0' 43'' S;57° 40' 17'' W;141 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL PAX/CARGA; 09/27;1500 m;45 m;PCN 71/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0668;-;-;-;PA2016-0668;-;-;-;AP-1;Classe I;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBCT;PR0001;AFONSO PENA;CURITIBA;PR;23° 31' 54'' S;49° 10' 34'' W;911 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 15/33;2218 m;45 m;PCN 65/F/A/X/T;Asfalto; 11/29;1798 m;45 m;PCN 65/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2024-13.895;-;-;-;PA2024-13.895;-;-;-;AP-3;Classe IV;1ª;"4E(15/33); 3C(11/29)";"PA2(15) / PA1(33)/ NPA(11;29)";N/A;PA2022-7675 / PA2023-10.883;PA2023-10.883;PA2022-7675 / PA2023-10.883;PA2023-10.883;-;-;-;;-
SBCX;RS0007;HUGO CANTERGIANI;CAXIAS DO SUL;RS;29° 11' 53'' S;51° 11' 12'' W;754 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1670 m;30 m;PCN 45/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.658;-;-;-;PA2023-11.658;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;Portaria n° 14.696/2024 torna pública a suspensão, até 31/08/2024, da medida administrativa cautelar referente à proibição da realização de operações de transporte aéreo público de passageiros regidas pelo RBAC nº 121 acima do limite de 28 (vinte e oito) frequências semanais e à proibição de operações de aeronaves de categoria 4C ou mais exigentes.
SBCY;MT0001;MARECHAL RONDON;CUIABÁ;MT;15° 39' 0'' S;56° 7' 3'' W;188 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX (restrito)/CARGA; 17/35;2300 m;45 m;PCN 56/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2575;-;-;-;PA2018-2575;-;-;-;AP-2;Classe III;1ª;4C;PA1(35) / NPA(17);N/A;PA2022-9773;PA2022-9773;PA2022-9773;PA2022-9773;-;-;-;X;PA2024-13.971 A designação é por tempo determinado compreendido entre 06 de março a 31 de julho de 2024.
SSCL;MS0018;CASSILÂNDIA;CASSILÂNDIA;MS;19° 8' 49'' S;51° 40' 35'' W;481 m;VFR Diurno;-;-; 13/31;1254 m;18 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1340;-;-;-;PA2017-1340;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
